# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.760000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.013158, 0.000000, 0.000000
1, 0.780000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 0.500000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.020800, 0.000000, 0.000000
3, 0.740000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.039501, 0.000000, 0.000000
4, 0.640000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.019097, 0.000000, 0.000000
5, 0.620000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.016978, 0.000000, 0.000000
6, 0.620000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.105263, 0.000000, 0.000000
7, 0.720000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.117063, 0.000000, 0.000000
8, 0.700000, 0.531250, 0.062500, 1.000000, 0.083130, 0.062500, 0.208248, 1.125000, 0.250000, 0.150735, 0.117647, 0.250000
9, 0.540000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.064412, 0.000000, 0.000000
10, 0.580000, 0.522727, 0.045455, 1.000000, 0.050633, 0.045455, 0.161165, 1.090909, 0.192308, 0.342532, 0.086957, 0.213201
