# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.960000, 0.973684, 1.000000, 0.857143, 0.896266, 0.833333, 0.901127, 3.055556, 0.882353, 0.981360, 0.923077, 0.973329
1, 0.960000, 0.909091, 0.818182, 1.000000, 0.875312, 0.818182, 0.882196, 2.636364, 0.957447, 0.909091, 0.900000, 0.904534
2, 0.980000, 0.980000, 1.000000, 0.961538, 0.960000, 0.960000, 0.960769, 3.041667, 0.968992, 0.980000, 0.980392, 0.979796
3, 0.260000, 0.500000, 1.000000, 0.260000, 0.000000, -1.846154, 0.000000, 3.000000, 0.305164, 1.000000, 0.412698, 0.000000
4, 0.940000, 0.940972, 0.944444, 0.894737, 0.871355, 0.833333, 0.872157, 2.955556, 0.904255, 0.980035, 0.918919, 0.940966
5, 0.960000, 0.947368, 0.894737, 1.000000, 0.913345, 0.894737, 0.916794, 2.789474, 0.977011, 0.921053, 0.944444, 0.945905
6, 0.940000, 0.931239, 0.894737, 0.944444, 0.871355, 0.842105, 0.872157, 2.822807, 0.934066, 0.931239, 0.918919, 0.930524
7, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
8, 0.940000, 0.955882, 1.000000, 0.842105, 0.868651, 0.812500, 0.876243, 3.096774, 0.869565, 0.968750, 0.914286, 0.954864
9, 0.960000, 0.959742, 0.956522, 0.956522, 0.919485, 0.913043, 0.919485, 2.951505, 0.956522, 0.950081, 0.956522, 0.959737
10, 0.440000, 0.500000, 1.000000, 0.440000, 0.000000, -0.272727, 0.000000, 3.000000, 0.495495, 0.913961, 0.611111, 0.000000
