# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.980000, 0.986842, 1.000000, 0.923077, 0.946695, 0.916667, 0.948043, 3.027027, 0.937500, 0.994518, 0.960000, 0.986754
1, 0.960000, 0.909091, 0.818182, 1.000000, 0.875312, 0.818182, 0.882196, 2.636364, 0.957447, 0.997669, 0.900000, 0.904534
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
4, 0.960000, 0.956597, 0.944444, 0.944444, 0.913194, 0.888889, 0.913194, 2.921147, 0.944444, 0.993056, 0.944444, 0.956520
5, 0.940000, 0.921053, 0.842105, 1.000000, 0.868651, 0.842105, 0.876243, 2.684211, 0.963855, 1.000000, 0.914286, 0.917663
6, 0.920000, 0.904924, 0.842105, 0.941176, 0.826690, 0.789474, 0.829811, 2.717544, 0.919540, 0.979626, 0.888889, 0.902741
7, 0.980000, 0.964286, 0.928571, 1.000000, 0.949290, 0.928571, 0.950513, 2.857143, 0.984848, 1.000000, 0.962963, 0.963624
8, 0.940000, 0.939338, 0.937500, 0.882353, 0.864376, 0.812500, 0.865261, 2.937500, 0.892857, 0.996324, 0.909091, 0.939336
9, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.992754, 1.000000, 1.000000
10, 0.960000, 0.959416, 0.954545, 0.954545, 0.918831, 0.909091, 0.918831, 2.946128, 0.954545, 0.993506, 0.954545, 0.959403
